commit_hash,commit_date,commit_file,dependencies
e909c1cda352b4dac207780f8cea739db2362c69,2017-03-20 11:58:05,requirements.txt,CherryPy;M2Crypto;Mako;beautifulsoup4;lxml;netaddr;psycopg2;requests
6c3e8a9a0fb0ddce1ebcb4625fe55e38cd342380,2018-11-03 07:56:16,requirements.txt,requests
3d7bc72ab236d624466cde74e50b572c53e4288f,2018-12-16 22:29:51,requirements.txt,CherryPy;M2Crypto;ipaddr;ipwhois
9687ec2444880f5061426b26d72b328253aed238,2019-04-01 20:50:14,requirements.txt,future
c8b7050efbe3b34d3495403f8708b3d21d8a21a5,2019-04-11 19:15:33,requirements.txt,future
3ec6bc7ce16eb1f129bd8b40677add3d04e8a28e,2019-05-31 21:49:53,requirements.txt,phonenumbers
83439bc2925ab569327dbcc0092db1b8e61d679f,2019-07-11 16:00:15,requirements.txt,PyPDF2;adblockparser;dnspython;exifread;pygexf;python-whois;stem
be695980fb16730df4dee200e3f1c9c9f26699d2,2019-07-11 16:05:39,requirements.txt,openxmllib
0f9a8035335ad7b412906d463bc61a003fe43f11,2019-10-11 22:55:16,requirements.txt,pyOpenSSL
940a46757ca7346309144506e37f15d05bca5e4c,2019-10-26 05:48:01,requirements.txt,python-docx;python-pptx
9b1d1a7ca1bcea7ed0578f76887f8cb9bd226819,2019-11-03 21:36:42,requirements.txt,networkx
f941ebc1c8c2b2ef0c05c5150198d766dc94e0d3,2019-11-17 04:10:00,requirements.txt,secure
96f8295cc41394c0b0d3aac9d12e9f0cef7dbbe0,2019-11-17 18:28:01,requirements.txt,networkx
24d651fd4f8fb9f9e4e3a48ca5bd805202a1d380,2019-11-30 15:00:59,requirements.txt,pysocks
0d357b42250c7d5947d06da8c68db2ae599da517,2020-01-19 10:27:53,requirements.txt,cryptography
fd87e36a885284f419eefc4862e93a96d02ab7e1,2020-04-13 00:39:12,requirements.txt,CherryPy
465f23a6776feef2ce545a413ffd3fda4384543e,2020-06-22 07:19:42,requirements.txt,publicsuffixlist
365a1e98aa6b9ca2fb6a4f24b78f4d93b690a695,2020-08-17 13:40:14,requirements.txt,pyOpenSSL
9a6fde877145450eca4131c91d7b5e2de8a56145,2020-08-26 02:13:17,requirements.txt,future;secure
83028fec7a42a49a6632f36261d44a039d458f9b,2020-09-20 21:59:26,requirements.txt,phonenumbers
7b94af5808c32a7db0963424e9e2c86029cc5a9d,2020-10-22 10:11:25,requirements.txt,networkx
b6d8d3eda6b1dfa6f4bbb42ae44d8be4dd04d885,2020-11-21 03:33:45,requirements.txt,cryptography;lxml
66fb5932151052d658a0632ccd376cbb161f51e4,2020-11-21 06:02:28,requirements.txt,cherrypy-cors;cryptography;lxml
4ffad6a9b130d0e6d40b35a7047229a41102080f,2021-01-10 08:46:21,requirements.txt,cryptography;lxml
d3af8315b2ee389389e0ce22a7f024e8e9517b12,2021-04-11 16:55:52,requirements.txt,cryptography;lxml
742354b5558cd1ae797710d579e9e0f0aabaae73,2021-04-27 22:09:13,requirements.txt,secure
8d91f01b6263fe0ee5439b84524fd4374ce5d146,2021-06-24 12:49:38,test/requirements.txt,-r ../requirements.txt;darglint;dlint;flake8;flake8-bugbear;flake8-return;pycodestyle;pytest;pytest-cov;pytest-flake8;pytest-mock;pytest-xdist;responses
b7a6cf8cdf8b2419cc10ee2ad9dfbcee52ce6b29,2021-07-09 08:41:47,requirements.txt,secure
a6ac41c21f899e8ca1a3b93395cb78606c80e995,2021-08-02 06:16:55,requirements.txt,networkx
071b108b005304f6f169488b21d346945eed91ea,2021-08-07 20:04:39,requirements.txt,CherryPy;ExifRead;Mako;PyPDF2;adblockparser;beautifulsoup4;cherrypy-cors;cryptography;dnspython;ipaddr;lxml;netaddr;networkx;phonenumbers;publicsuffixlist;pyOpenSSL;pygexf;pysocks;python-docx;python-pptx;python-whois;requests
0423213a46f7b25ef4b13b8dccd14d96d33a9a4d,2021-08-08 15:19:33,requirements.txt,ipwhois
703fe792eb61fdcad2fe75fd38b647abbf376e85,2021-08-25 20:37:24,spiderfoot/static/package.json,alertifyjs;bootstrap;jquery;sigma
043041e29bf9f3dd2e1caea6c29fb0f60f2221aa,2021-08-26 21:25:40,spiderfoot/static/package.json,tablesorter
