commit_hash,commit_date,commit_file,dependencies
f3bd286b95f99406950c73181c757ebeb8ebaa41,2022-10-21 16:06:28,integrations/pcap_analyzers/requirements.txt,Flask-Shell2HTTP;PyYAML
cfa6f9757ccb227b09619bc71a3a8db405fb4e95,2022-11-28 11:59:18,frontend/package.json,bootstrap
4b7168245ba3190b0eded304d32f5d5f501c9be5,2022-12-06 09:16:29,frontend/package.json,zustand
2ec341384f7edd2f72e3d779403678c77c2d9ca6,2022-12-06 09:16:43,frontend/package.json,react-markdown
f577d9f5ca2b7d399e13328fdb8972d2a7936abe,2022-12-07 18:46:28,frontend/package.json,react-router-dom
6facb42001a5fac8920e0529fda2eac6ed65793c,2022-12-13 14:51:39,frontend/package.json,sass
b6613b96367342c88cc87b7480eb9e49efd0ad83,2022-12-13 14:52:28,frontend/package.json,recharts
7996f4932ce464b4d7d38a7f6f596e772b33ee7f,2022-12-27 10:34:50,frontend/package.json,react-router-dom
3f563139a2c3cb2a2e56d130948c15a6e39eb629,2023-01-03 16:08:45,frontend/package.json,zustand
a522182b0eaf20b439a2f3012acdcb2d9b750691,2023-01-17 09:44:16,frontend/package.json,zustand
8add623d526eb857e503a6672e6bb360557cae76,2023-01-24 09:48:20,frontend/package.json,react-router-dom
388388228507cc77dcd3dab8f4b738f18081993c,2023-01-24 09:48:30,frontend/package.json,recharts
d7379ebbab0f4a541617f4c5660432e7353af0e8,2023-02-01 11:42:53,frontend/package.json,@babel/preset-env;@babel/preset-react;@testing-library/jest-dom;@testing-library/react;@testing-library/user-event;babel-jest;jest
a7af1738adc7b8faface4c6b5e9e39b703a23c14,2023-02-07 09:19:12,frontend/package.json,sass
af3f1d8b5fbfb5fff3718814ba5d4b8a6a40888e,2023-02-10 18:06:36,frontend/package.json,babel-jest;jest;jest-environment-jsdom
b0207fa4f2adce2b96d80a1d7117d713e8d2a616,2023-02-23 16:00:57,frontend/package.json,eslint;prettier;recharts;sass;zustand
416023b61dd6325745a4545bb9cc4c3e686aafb8,2023-03-01 15:09:06,frontend/package.json,react-google-recaptcha
437e0b798e0fafa0b7a0034191bb1e6540b4c2da,2023-03-21 15:58:56,integrations/pcap_analyzers/requirements.txt,Flask-Shell2HTTP-fork
3535c9440118adcda13e506d5bbb1dd7ba379cb7,2023-04-04 10:57:36,frontend/package.json,jest-environment-jsdom
0f0e6b3e153ca652ccf5e6b9bfbcec7a768cc9d6,2023-04-04 10:57:49,frontend/package.json,@certego/certego-ui
b01865b37b8f98c796ca1117fd65de2f0fe14fa9,2023-04-04 10:58:31,frontend/package.json,zustand
97d59bccfa5902c2baa7184a1b2a73d6c9748e39,2023-04-04 10:59:08,frontend/package.json,react-router-dom
76caeb08030266b2c0696233dd29235a3f0c2311,2023-04-04 12:30:07,frontend/package.json,flag-icons
814adf6ad79c2294b6496befe0f2f279490ef368,2023-04-12 09:27:07,frontend/package.json,@babel/preset-env;eslint;reactstrap;recharts;sass
ab55a81ffc2c635018a198caa589db9b03919e39,2023-05-15 09:22:17,frontend/package.json,react-icons
04ff30e916c6b9c03546881dc43d3bc51451cfa5,2023-05-23 18:34:15,frontend/package.json,babel-jest;eslint-config-prettier;prettier;react-error-boundary;react-markdown
a7a133ad154624a959a2cee2c03edb1ca819e7c8,2023-06-14 17:38:42,frontend/package.json,flag-icons
668ca375d8e065d2b8537faa6c00df8c6456dc51,2023-06-26 15:50:26,frontend/package.json,@babel/preset-react;@certego/certego-ui;bootstrap;react-error-boundary;zustand
c8322c540fc37326b7b4209010a547a19ecc7b14,2023-07-26 14:35:38,frontend/package.json,formik;jest;prettier;react-icons;reactstrap
a6d92d8495d57ecff3f94b40a790138c96f22847,2023-07-27 16:36:16,frontend/package.json,@certego/certego-ui;react-select
ce462dd232bb03b03e887fe0d9399288effc8a33,2023-08-21 15:58:49,frontend/package.json,flag-icons
f6761eb567334900db799bdf3bcb32eedf338363,2023-08-21 15:59:12,frontend/package.json,jest-environment-jsdom
b390bf4c57359a3d8cdccdda64a8d359f7b5177e,2023-08-21 17:28:31,frontend/package.json,prettier
c22d430d7a34aa377ecd8510d0171bca2b737a3f,2023-08-21 17:29:08,frontend/package.json,formik
67cd014506f4a8dbddecd8129d772ec30f68478b,2023-08-28 14:54:26,frontend/package.json,react-joyride
f91f14d9376b68dbb837f1a9cf53982b222ab107,2023-09-06 11:18:12,frontend/package.json,babel-jest;eslint;eslint-config-prettier;flag-icons;recharts
69cbedea1a4d52acb3cb6d014bd41e536bab2291,2023-10-20 17:48:42,frontend/package.json,react-router-dom
309b7056e65f4e1ee93d0144ef171760a602c383,2023-10-31 18:08:29,frontend/package.json,react-json-tree
18840c149f9657f5e196a6c1d514b148c47ea32d,2023-11-03 16:15:36,frontend/package.json,@certego/certego-ui
a3ae044f9d6f90bb56d0f8a4ea2c082dd211ffd0,2023-11-16 15:39:11,frontend/package.json,react-icons
e3c505f09dd8bfa4ea152ff92596aa15682c8ae1,2023-11-23 11:24:34,frontend/package.json,axios;babel-jest;eslint-plugin-react;jest;react-error-boundary;zustand
8286ec872dfd49bb392bb1dcc847e003d4f181fc,2023-11-24 11:59:28,frontend/package.json,@certego/certego-ui
0491a6874ce056c70fcc00e1995fc5987af8fa49,2023-12-01 16:15:30,frontend/package.json,@certego/certego-ui
200d28dce635f0eecc4f5fc1e8790367e0d3efd4,2024-01-12 09:51:07,frontend/package.json,eslint-plugin-import;eslint-plugin-jsx-a11y;prettier;react-joyride;reactstrap
b1d63ef57eea81a93b41b86145766188524ef9da,2024-02-12 14:48:09,frontend/package.json,bootstrap;eslint-config-prettier;prettier;react-icons;react-select
41a80434e33d2c69968eabc5d8265bce2b7ff4df,2024-02-14 10:35:01,frontend/package.json,react-icons
727b318042f724bfe36e2104dfe9e1562d63f285,2024-02-15 10:13:05,frontend/package.json,@certego/certego-ui;@testing-library/user-event;flag-icons;react-router-dom;react-use;zustand
54930a66ac62288f4d3522cafebb81940a7f841a,2024-03-06 13:02:47,frontend/package.json,@babel/preset-react;@testing-library/jest-dom;formik;jest-environment-jsdom;zustand
a6fe672db898bdad2640d9918931711422a4d600,2024-03-12 09:37:17,frontend/package.json,js-cookie
14d9e03c016d847fd61d6a1004d64a122de9bc47,2024-03-20 11:58:14,frontend/package.json,@certego/certego-ui
7ffaeff177c49db9f524e626eac2f6ddb3e11d09,2024-03-25 11:36:58,frontend/package.json,@dagrejs/dagre;reactflow
be763233ff0e11c749acaa444e899d72ac50a7e5,2024-05-07 16:48:35,integrations/pcap_analyzers/requirements.txt,gunicorn
3a9f790a08f622b5ea897ebf7fbba38cb682b002,2024-05-07 16:48:46,integrations/tor_analyzers/requirements.txt,Flask-Shell2HTTP-fork;gunicorn
83a7d7e6742aa0bbc13b6be537fef61b921ef5a5,2024-05-07 17:32:46,frontend/package.json,classnames;eslint-plugin-react;react-joyride;recharts;sass
d7ff4188a5fa458917bc622b6c4f557dcc2d5a7d,2024-07-15 16:28:22,frontend/package.json,@babel/preset-env;axios;bootstrap;react-error-boundary;react-google-recaptcha
cdfdf7d07faa205340c1c3abc83f32b2926e6283,2024-08-19 15:46:31,frontend/package.json,@babel/preset-react;flag-icons;formik;react-json-tree;zustand
5462bdcf15f935143cb15cfdcb993552cfb0ad86,2024-08-19 17:48:57,frontend/package.json,axios
1d8b8b580525292215b65836ab06caae1ca087a2,2024-10-16 16:13:51,frontend/package.json,@babel/preset-env;recharts;sass
0eecc2831e624a8664a344cfc2509d78826c79d8,2024-10-16 18:39:12,frontend/package.json,@babel/preset-react;@dagrejs/dagre;@testing-library/jest-dom;axios;eslint;eslint-plugin-import;eslint-plugin-jsx-a11y;eslint-plugin-react;eslint-plugin-react-hooks;prettier;react-error-boundary;react-joyride;react-router-dom;react-select;react-use;reactflow;reactstrap
3f7f6617f256c525ac5492afaf2249296994820a,2024-11-06 13:56:53,integrations/phishing_analyzers/requirements.txt,Flask-Shell2HTTP-fork;blinker;gunicorn;selenium;selenium-wire
e14ca2f5fed108297331d8b8165205d1f722a0d9,2024-11-13 17:28:57,frontend/package.json,@types/jest
e4f65d19339819188f429b6661cbc1d9d5f58f00,2024-12-27 11:27:04,frontend/package.json,date-fns
bebec1b9cabec01e49925e18b09c87767c84fb96,2024-12-27 12:11:05,frontend/package.json,@testing-library/jest-dom;react-error-boundary;sass
683d1956f9f6c9fd601823cb8fa279aa2eaaf5e1,2025-01-07 14:25:04,integrations/tor_analyzers/requirements.txt,gunicorn
62869b572debb4d0af92288a758257807547fede,2025-01-07 14:26:34,integrations/pcap_analyzers/requirements.txt,gunicorn
af98ed88110de386189fe06d76091aa956604117,2025-01-15 16:33:54,integrations/phishing_analyzers/requirements.txt,blinker
68dcd1dc472665fd7751210a0af591e4ccc4a413,2025-01-16 09:58:58,integrations/phishing_analyzers/requirements.txt,blinker
2b6775c931e65f221dafa67daec0d3d5183a3b3d,2025-02-17 12:37:52,integrations/nuclei_analyzer/requirements.txt,Flask-Shell2HTTP-fork;gunicorn
8373562a9e5a840f5974b2a73db3d220d666b4e7,2025-02-17 15:39:38,integrations/pcap_analyzers/requirements.txt,flask
e1d47b354491096396dbdc8f553e4722c475573d,2025-02-18 16:59:00,integrations/phishing_analyzers/requirements.txt,flask
d476812c28cfcbb3d83e7e978c404ef5ec6f5e25,2025-02-24 15:17:53,frontend/package.json,date-fns-tz
a250686d25a0eabf95e86e1f033d1855a6a484c8,2025-03-04 17:00:26,frontend/package.json,@certego/certego-ui
19f85aafcb01ee057ea036072a8a6c718ee5299d,2025-03-13 10:01:27,frontend/package.json,ace-builds;react-ace
6aa6de415472150e183e0d201c73b7e315b4fa18,2025-03-13 10:44:31,frontend/package.json,axios
ee3e55a28c81c9280593b78ff9255b956be247e9,2025-03-24 15:54:59,frontend/package.json,@certego/certego-ui
3698116eb08a0506f2c742e7c974a62b3d3479d6,2025-04-02 16:06:41,integrations/bbot/requirements.txt,bbot;fastapi;uvicorn[standard]
05dfa373d6c46a35bfee29376895fe812a8afac9,2025-04-10 12:35:27,frontend/package.json,react-icons
a000e0951eced7dd5d5c8628b794bf0a12949ff7,2025-04-14 12:13:37,frontend/package.json,react-icons
PROJECT_SUMMARY,,,@babel/preset-env;@babel/preset-react;@certego/certego-ui;@craco/craco;@dagrejs/dagre;@testing-library/jest-dom;@testing-library/react;@testing-library/user-event;@types/jest;@welldone-software/why-did-you-render;Flask;Flask-Executor;Flask-SQLAlchemy;Flask-Shell2HTTP;Flask-Shell2HTTP-fork;Jinja2;MarkupSafe;PyYAML;SQLAlchemy;Werkzeug;ace-builds;axios;axios-hooks;babel-eslint;babel-jest;bbot;blinker;bootstrap;classnames;click;date-fns;date-fns-tz;eslint;eslint-config-airbnb;eslint-config-prettier;eslint-plugin-import;eslint-plugin-jsx-a11y;eslint-plugin-react;eslint-plugin-react-hooks;fastapi;flag-icons;flask;formik;formstrap;gunicorn;husky;itsdangerous;jest;jest-environment-jsdom;js-cookie;md5;moment;node-sass;prettier;pretty-quick;prop-types;react;react-ace;react-dom;react-error-boundary;react-ga4;react-google-recaptcha;react-icons;react-joyride;react-json-tree;react-markdown;react-moment;react-router-dom;react-scripts;react-select;react-table;react-use;reactflow;reactstrap;reactstrap-confirm;recharts;sass;selenium;selenium-wire;source-map-explorer;stylelint;stylelint-config-prettier;stylelint-config-standard-scss;uvicorn[standard];zustand
